SUFFIX
ST
AVE
RD
LN
BLVD
DR
PL
RAMP
EXPY
WAY
TER
CT
PKWY
CIR
DWY
PIKE
WALK
TRL
SQ
MALL
PLZ
ALY
PATH
HWY
BRG
SPUR
MEWS
TUNL
HTS
RUN
PRK
CRK
ROW
