STREET_PREDIR,STREET_NAME,STREET_SUFFIX,STREET_POSTDIR
,E,ST,
,EAST,ST,
,EAST FALLS,LN,
,EAST RIVER,RD,
,EAST SERVICE,DR,
,NORTH,ST,
,NORTH,TER,
,NORTH ACCESS,RD,
,NORTH TERMINAL,AVE,
,SOUTH,ST,
,WEST END,DR,
,WEST SERVICE,DR,
