street_predir,street_name,street_suffix,street_postdir
N,CLARION,ST,
S,CLARION,ST,
E,CLARKSON,AVE,
W,CLARKSON,AVE,
E,CLEARFIELD,ST,
W,CLEARFIELD,ST,
E,CLEMENTINE,ST,
W,CLEMENTINE,ST,
N,CLEVELAND,ST,
S,CLEVELAND,ST,
N,CLIFTON,ST,
S,CLIFTON,ST,
E,CLIVEDEN,ST,
W,CLIVEDEN,ST,
N,COLLEGE,AVE,
S,COLLEGE,AVE,
W,COLLEGE,AVE,
E,COLONA,ST,
W,COLONA,ST,
N,COLORADO,ST,
S,COLORADO,ST,
E,COLUMBIA,AVE,
W,COLUMBIA,AVE,
E,COMMISSIONER,ST,
W,COMMISSIONER,ST,
S,CONCOURSE,DR,
N,CONESTOGA,ST,
S,CONESTOGA,ST,
N,CORLIES,ST,
S,CORLIES,ST,
E,CORNWALL,ST,
W,CORNWALL,ST,
E,COULTER,ST,
W,COULTER,ST,
E,COUNTRY CLUB,RD,
W,COUNTRY CLUB,RD,
E,COURTLAND,ST,
W,COURTLAND,ST,
N,CREIGHTON,ST,
N,CROSKEY,ST,
S,CROSKEY,ST,
E,CROWN,AVE,
W,CROWN,AVE,
W,CUMBERLAND,DR,
E,CUMBERLAND,ST,
W,CUMBERLAND,ST,
N,DAGGETT,ST,
S,DAGGETT,ST,
E,DAKOTA,ST,
W,DAKOTA,ST,
N,DARIEN,ST,
S,DARIEN,ST,
W,DAUPHIN,DR,
E,DAUPHIN,ST,
W,DAUPHIN,ST,
N,DEKALB,ST,
N,DELAWARE,AVE,
N,DELAWARE AVENUE,RAMP,
N,DELAWARE AVENUE RAMP SPUR B,,
N,DELHI,ST,
S,DELHI,ST,
N,DEWEY,ST,
S,DEWEY,ST,
N,DOUGLAS,ST,
S,DOUGLAS,ST,
N,DOVER,ST,
S,DOVER,ST,
E,DUNCANNON,AVE,
W,DUNCANNON,AVE,
E,DURHAM,ST,
W,DURHAM,ST,
E,DUVAL,ST,
W,DUVAL,ST,
E,EARLHAM,ST,
W,EARLHAM,ST,
S,EASTON,RD,
N,EDGEWOOD,ST,
S,EDGEWOOD,ST,
E,EDGLEY,DR,
E,ELEANOR,ST,
W,ELEANOR,ST,
E,ELKHART,ST,
W,ELKHART,ST,
E,ELLET,ST,
W,ELLET,ST,
E,ERIE,AVE,
W,ERIE,AVE,
E,ESTAUGH,ST,
W,ESTAUGH,ST,
N,ETTING,ST,
S,ETTING,ST,
E,EVERGREEN,AVE,
W,EVERGREEN,AVE,
E,EYRE,ST,
W,EYRE,ST,
N,FAIRHILL,ST,
S,FAIRHILL,ST,
N,FALLON,ST,
S,FALLON,ST,
N,FAWN,ST,
S,FAWN,ST,
N,FELTON,ST,
S,FELTON,ST,
N,FERRY,RD,
S,FERRY,RD,
E,FIRTH,ST,
W,FIRTH,ST,
E,FISHER,AVE,
W,FISHER,AVE,
E,FISHERS,LN,
W,FISHERS,LN,
E,FLETCHER,ST,
W,FLETCHER,ST,
E,FLORA,ST,
W,FLORA,ST,
N,FRANKLIN,ST,
S,FRANKLIN,ST,
N,FRAZIER,ST,
S,FRAZIER,ST,
N,FRONT,ST,
S,FRONT,ST,
E,GALE,ST,
W,GALE,ST,
N,GALLOWAY,ST,
S,GALLOWAY,ST,
E,GARFIELD,ST,
W,GARFIELD,ST,
N,GARNET,ST,
S,GARNET,ST,
E,GEORGE,ST,
W,GEORGE,ST,
N,GEORGES HILL,DR,
S,GEORGES HILL,DR,
E,GIRARD,AVE,
